,roi,weight,network,weight_th
323,7Networks_RH_Cont_PFCl_10,-0.8841942180792236,Cont,0
324,7Networks_RH_Cont_PFCl_11,-2.1114363042134845,Cont,0
325,7Networks_RH_Cont_PFCl_12,-2.488827370064354,Cont,0
326,7Networks_RH_Cont_PFCl_13,-2.2561121465914784,Cont,0
327,7Networks_RH_Cont_PFCl_14,-4.242640545226239,Cont,1
328,7Networks_RH_Cont_PFCl_15,-0.7598617976011826,Cont,0
329,7Networks_RH_Cont_pCun_1,-1.9951458403460935,Cont,0
330,7Networks_RH_Cont_pCun_2,-0.8781970379065279,Cont,0
331,7Networks_RH_Cont_Cing_1,0.03475063951083612,Cont,0
332,7Networks_RH_Cont_Cing_2,-1.768364790109599,Cont,0
333,7Networks_RH_Cont_PFCmp_1,-1.876173388537492,Cont,0
334,7Networks_RH_Cont_PFCmp_2,-1.3321181663705615,Cont,0
335,7Networks_RH_Default_Par_1,1.2658356905127417,Default,0
336,7Networks_RH_Default_Par_2,-1.073224431462112,Default,0
337,7Networks_RH_Default_Par_3,-1.2620885794917107,Default,0
338,7Networks_RH_Default_Par_4,-0.7588677978384134,Default,0
339,7Networks_RH_Default_Par_5,-2.3081941521151963,Default,0
340,7Networks_RH_Default_Temp_1,-1.5702634187601239,Default,0
341,7Networks_RH_Default_Temp_2,-0.8790873749293567,Default,0
342,7Networks_RH_Default_Temp_3,-0.457867251224606,Default,0
343,7Networks_RH_Default_Temp_4,-3.7560886560770252,Default,1
344,7Networks_RH_Default_Temp_5,-0.15065508141336018,Default,0
345,7Networks_RH_Default_Temp_6,-1.4820148648459248,Default,0
346,7Networks_RH_Default_Temp_7,-1.1428381019871376,Default,0
347,7Networks_RH_Default_Temp_8,0.5725792564376039,Default,0
348,7Networks_RH_Default_PFCv_1,-4.130376648158655,Default,1
349,7Networks_RH_Default_PFCv_2,-1.539145891678779,Default,0
350,7Networks_RH_Default_PFCv_3,-1.8856001517293597,Default,0
351,7Networks_RH_Default_PFCv_4,0.668502195261753,Default,0
352,7Networks_RH_Default_PFCdPFCm_1,-1.4811946251964856,Default,0
353,7Networks_RH_Default_PFCdPFCm_2,-0.29518516094256547,Default,0
354,7Networks_RH_Default_PFCdPFCm_3,-1.1758858071091243,Default,0
355,7Networks_RH_Default_PFCdPFCm_4,-2.429694897349113,Default,0
356,7Networks_RH_Default_PFCdPFCm_5,-2.9872122539699535,Default,0
357,7Networks_RH_Default_PFCdPFCm_6,-1.0261340657946787,Default,0
358,7Networks_RH_Default_PFCdPFCm_7,-1.6195619916633661,Default,0
359,7Networks_RH_Default_PFCdPFCm_8,-1.2206222352018785,Default,0
360,7Networks_RH_Default_PFCdPFCm_9,-3.802773108028961,Default,1
361,7Networks_RH_Default_PFCdPFCm_10,-1.1161639709008973,Default,0
362,7Networks_RH_Default_PFCdPFCm_11,-2.676612134766205,Default,0
363,7Networks_RH_Default_PFCdPFCm_12,-2.726764852235204,Default,0
364,7Networks_RH_Default_PFCdPFCm_13,-0.24012763381744937,Default,0
365,7Networks_RH_Default_pCunPCC_1,-3.385944777943757,Default,1
366,7Networks_RH_Default_pCunPCC_2,-1.736299178946459,Default,0
367,7Networks_RH_Default_pCunPCC_3,-2.8494979593734358,Default,0
368,7Networks_RH_Default_pCunPCC_4,-2.7472353372359275,Default,0
369,7Networks_RH_Default_pCunPCC_5,-2.3122179429774286,Default,0
370,7Networks_RH_Default_pCunPCC_6,-1.859176281287729,Default,0
371,7Networks_RH_Default_pCunPCC_7,-1.4462556535356947,Default,0
372,7Networks_RH_Default_pCunPCC_8,-2.074576073633384,Default,0
373,7Networks_RH_Default_pCunPCC_9,-1.634034048663899,Default,0
374,7Networks_Tha_Vis_1,0.012882971233280605,Vis,0
375,7Networks_Tha_SomMot_2,2.0225297359959225,SomMot,0
376,7Networks_Tha_DorsAttn_3,0.6716437495295616,DorsAttn,0
377,7Networks_Tha_SalVentAttn_4,-0.2835841580764247,SalVentAttn,0
378,7Networks_Tha_Cont_6,-0.7808823186256284,Cont,0
379,7Networks_Tha_Default_7,-0.9823195960536699,Default,0
380,7Networks_Stra_SomMot_2,0.4930628394610452,SomMot,0
381,7Networks_Stra_DorsAttn_3,0.5558719171289239,DorsAttn,0
382,7Networks_Stra_SalVentAttn_4,1.5363481883348769,SalVentAttn,0
383,7Networks_Stra_Cont_6,0.16881062285075024,Cont,0
384,7Networks_Stra_Default_7,0.3582413824775476,Default,0
